player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Angel Gomes,#20,Attacking Midfield,LOSC Lille,Ligue 1,8,-,-,1,-,-,,,372'
Tiago Djaló,#3,Centre-Back,LOSC Lille,Ligue 1,6,-,-,2,-,-,,,478'
Khéphren Thuram,#19,Defensive Midfield,OGC Nice,Ligue 1,10,1,2,-,-,-,,,408'
Ivo Grbic,#1,Goalkeeper,LOSC Lille,Ligue 1,9,-,,1,-,-,9,1,810'
Isaac Lihadji,#19,Right Winger,LOSC Lille,Ligue 1,3,-,2,-,-,-,,,41'
Léo Jardim,#30,Goalkeeper,LOSC Lille,Ligue 1,2,-,,-,-,-,7,-,180'
Burak Yilmaz,#17,Centre-Forward,LOSC Lille,Ligue 1,9,3,2,3,-,-,,,795'
Amadou Onana,#24,Defensive Midfield,LOSC Lille,Ligue 1,8,-,-,-,-,-,,,244'
Cheikh Niasse,#27,Defensive Midfield,LOSC Lille,Ligue 1,1,-,-,-,-,-,,,5'
Hassane Kamara,#13,Left-Back,OGC Nice,Ligue 1,7,-,-,1,-,-,,,367'
