player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Tanguy Coulibaly,#7,Left Winger,VfB Stuttgart,Bundesliga,4,-,1,3,-,-,,,285'
Roberto Massimo,#30,Right Midfield,VfB Stuttgart,Bundesliga,7,1,-,-,-,-,,,433'
Pascal Stenzel,#15,Centre-Back,VfB Stuttgart,Bundesliga,2,-,-,-,-,-,,,36'
Atakan Karazor,#16,Defensive Midfield,VfB Stuttgart,Bundesliga,5,-,-,1,-,-,,,350'
Bouna Sarr,#20,Right-Back,FC Bayern ,Bundesliga,3,-,-,-,-,-,,,45'
Malik Tillman,#40,Centre-Forward,FC Bayern ,Regionalliga Bayern,4,2,1,1,-,-,,,360'
Christian Früchtl,#36,Goalkeeper,FC Bayern ,Regionalliga Bayern,2,-,,-,-,-,4,-,180'
Eric Maxim Choupo-Moting,#13,Centre-Forward,FC Bayern ,Bundesliga,6,2,-,-,-,-,,,93'
Daniel Didavi,#10,Attacking Midfield,VfB Stuttgart,Bundesliga,5,-,-,-,-,-,,,95'
Erik Thommy,#11,Left Midfield,VfB Stuttgart,Bundesliga,3,-,-,-,-,-,,,74'
